Name,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
1. The Shawshank Redemption,25000000,28767189,727327,1994-09-25 00:00:00,29330423
2. The Godfather,6000000,136381073,302393,1972-03-19 00:00:00,250342030
3. The Dark Knight,185000000,534987076,158411483,2008-07-20 00:00:00,1008497140
4. The Godfather Part II,13000000,47834595,171417,2019-11-10 00:00:00,47962897
5. 12 Angry Men,0,0,0,1900-01-01 00:00:00,0
6. Schindler's List,22000000,96898818,656636,1993-12-19 00:00:00,322161245
7. The Lord of the Rings: The Return of the King,94000000,381722353,72629713,2003-12-21 00:00:00,1151301082
8. Pulp Fiction,8000000,107928762,9311882,1994-10-16 00:00:00,213928762
9. The Lord of the Rings: The Fellowship of the Ring,93000000,319205075,47211490,2001-12-23 00:00:00,887184080
10. The Good the Bad and the Ugly,0,0,0,1900-01-01 00:00:00,0
11. Forrest Gump,55000000,330455270,24450602,1994-07-10 00:00:00,678226465
12. The Lord of the Rings: The Two Towers,94000000,345372040,62007528,2002-12-22 00:00:00,951403754
13. Fight Club,63000000,37030102,11035485,1999-10-17 00:00:00,101320107
14. Inception,160000000,292587330,62785337,2010-07-18 00:00:00,839030630
15. Star Wars: Episode V - The Empire Strikes Back,18000000,292753960,4910483,1980-05-25 00:00:00,538375067
16. The Matrix,63000000,172076928,27788331,1999-04-04 00:00:00,467684461
17. Goodfellas,25000000,46909721,6368901,1990-09-23 00:00:00,47049784
18. One Flew Over the Cuckoo's Nest,0,0,0,1900-01-01 00:00:00,0
19. Se7en,33000000,100125643,13949807,1995-09-24 00:00:00,327333559
20. Interstellar,165000000,188020017,47510360,2014-11-09 00:00:00,705191242
21. It's a Wonderful Life,3180000,1483643,44000,2020-12-20 00:00:00,9767242
22. Seven Samurai,125000000,318649,15942,2002-07-28 00:00:00,346258
23. The Silence of the Lambs,19000000,130742922,13766814,1991-02-18 00:00:00,272742922
24. Saving Private Ryan,70000000,217049603,30576104,1998-07-26 00:00:00,482351251
25. City of God,3300000,7564459,88292,2003-01-19 00:00:00,30680793
26. Life Is Beautiful,20000000,57563264,118920,1998-10-25 00:00:00,230099013
27. The Green Mile,60000000,136801374,18017152,1999-12-12 00:00:00,286801374
28. Terminator 2: Judgment Day,102000000,205881154,31765506,1991-07-07 00:00:00,520881154
29. Star Wars: Episode IV - A New Hope,11000000,460998507,1554475,1977-05-30 00:00:00,775398507
30. Back to the Future,19000000,214077472,11152500,1985-07-07 00:00:00,384577472
31. Spirited Away,19000000,15205725,449839,2002-09-22 00:00:00,357561772
32. Dune: Part Two,190000000,282144358,82505391,2024-03-03 00:00:00,711844358
33. The Pianist,35000000,32590750,111261,2002-12-29 00:00:00,120098945
34. Parasite,11400000,53369749,393216,2019-10-13 00:00:00,262099264
35. Psycho,0,0,0,1900-01-01 00:00:00,0
36. Gladiator,103000000,187705427,34819017,2000-05-07 00:00:00,465387186
37. Spider-Man: Across the Spider-Verse,150000000,381593754,120663589,2023-06-04 00:00:00,690897910
38. The Lion King,45000000,422783777,1586753,1994-06-19 00:00:00,968750709
39. The Departed,90000000,132399394,26887467,2006-10-08 00:00:00,291481358
40. Léon: The Professional,115000000,19501238,5306558,1994-11-20 00:00:00,20275438
41. American History X,20000000,6719864,156076,1998-11-01 00:00:00,23875714
42. Whiplash,3300000,13092000,135388,2014-10-12 00:00:00,49449489
43. The Prestige,40000000,53089891,14801808,2006-10-22 00:00:00,109676311
44. Grave of the Fireflies,3700000,516962,158101,2018-08-12 00:00:00,519421
45. Harakiri,0,0,0,1900-01-01 00:00:00,0
46. The Usual Suspects,6000000,23341568,645363,1995-08-20 00:00:00,23341568
47. Casablanca,950000,4219709,181494,1992-04-12 00:00:00,4663702
48. The Intouchables,9500000,10198820,103507,2012-05-27 00:00:00,426590315
49. Cinema Paradiso,5000000,12397210,16552,1990-02-04 00:00:00,13020497
50. Modern Times,1500000,163577,35809,2003-12-28 00:00:00,463618
51. Rear Window,0,0,0,1900-01-01 00:00:00,0
52. Once Upon a Time in the West,0,0,0,1900-01-01 00:00:00,0
53. Alien,11000000,84206106,3527881,1979-05-28 00:00:00,108591169
54. City Lights,1500000,19181,9102,2007-07-08 00:00:00,50419
55. Django Unchained,100000000,162805434,30122888,2012-12-30 00:00:00,426076293
