Name,Color,Sound_Mix,Aspect_Ratio
1. The Shawshank Redemption,,Dolby Digital,1.85 : 1
2. The Godfather,Color,Mono Dolby Digital,1.85 : 1
3. The Dark Knight,Color,Dolby Digital SDDS DTS,2.39 : 1
4. The Godfather Part II,Color,Dolby Digital,1.85 : 1
5. 12 Angry Men,Black and White,Mono,1.85 : 1
6. Schindler's List,Black and White Color,DTS DTS-Stereo,1.85 : 1
7. The Lord of the Rings: The Return of the King,Color,DTS-ES Dolby Digital EX SDDS Dolby Atmos,2.39 : 1
8. Pulp Fiction,Color,Dolby Digital DTS,2.39 : 1
9. The Lord of the Rings: The Fellowship of the Ring,Color,DTS SDDS,2.39 : 1
10. The Good the Bad and the Ugly,Color,Mono,2.35 : 1
11. Forrest Gump,Color Black and White,Dolby SR SDDS Dolby Atmos,2.39 : 1
12. The Lord of the Rings: The Two Towers,Color,DTS-ES Dolby Digital EX SDDS Dolby Atmos,2.39 : 1
13. Fight Club,Color,Dolby Digital,2.39 : 1
14. Inception,Color,Dolby Digital DTS SDDS,2.39 : 1
15. Star Wars: Episode V - The Empire Strikes Back,,,
16. The Matrix,Color,Dolby Digital SDDS Dolby Atmos,2.39 : 1
17. Goodfellas,Color,Dolby SR,1.85 : 1
18. One Flew Over the Cuckoo's Nest,Color,Mono,1.85 : 1
19. Se7en,Color,DTS Dolby Digital DTS 70 mm,2.39 : 1
20. Interstellar,Color,Datasat Dolby Digital IMAX 6-Track Dolby Surround 7.1,2.39 : 1
21. It's a Wonderful Life,,,
22. Seven Samurai,Black and White,Mono,1.37 : 1
23. The Silence of the Lambs,Color,Dolby SR Dolby Stereo,1.85 : 1
24. Saving Private Ryan,Color,DTS Dolby Digital SDDS Dolby Atmos Dolby Digital EX Dolby Stereo,1.85 : 1
25. City of God,Color,Dolby Digital SDDS,1.85 : 1
26. Life Is Beautiful,Color,Dolby Digital,1.85 : 1
27. The Green Mile,Color,DTS Dolby Digital SDDS,1.85 : 1
28. Terminator 2: Judgment Day,,,
29. Star Wars: Episode IV - A New Hope,,,
30. Back to the Future,,,
31. Spirited Away,Color,DTS-ES Dolby Digital EX,1.85 : 1
